menuItemName,ingredientName,quantity,yieldQuantity,notes
Pizza Margarita,Harina,0.5,1,
Pizza Margarita,Agua,0.3,1,
Pizza Margarita,Levadura,10,1,
Pizza Margarita,Queso Mozzarella,0.2,1,
Pizza Margarita,Salsa de Tomate,0.15,1,
Pizza Margarita,Albahaca,5,1,
Pizza Pepperoni,Harina,0.5,1,
Pizza Pepperoni,Agua,0.3,1,
Pizza Pepperoni,Levadura,10,1,
Pizza Pepperoni,Queso Mozzarella,0.2,1,
Pizza Pepperoni,Salsa de Tomate,0.15,1,
Pizza Pepperoni,Pepperoni,0.15,1,
Pizza Hawaiana,Harina,0.5,1,
Pizza Hawaiana,Agua,0.3,1,
Pizza Hawaiana,Levadura,10,1,
Pizza Hawaiana,Queso Mozzarella,0.2,1,
Pizza Hawaiana,Salsa de Tomate,0.15,1,
Pizza Hawaiana,Jamon,0.1,1,
Pizza Hawaiana,Piña,0.5,1,
Empanadas,Harina,0.3,1,
Empanadas,Agua,0.15,1,
Empanadas,Carne de Res,0.15,1,
Empanadas,Cebolla,0.05,1,
Empanadas,Huevo,1,1,
Empanadas,Aceite,0.05,1,
Hamburguesa de Wagyu,Carne de Res,0.2,1,200g carne premium
Hamburguesa de Wagyu,Pan Brioche,1,1,
Hamburguesa de Wagyu,Queso Cheddar,0.05,1,
Hamburguesa de Wagyu,Tocino,0.03,1,
Hamburguesa de Wagyu,Lechuga,0.1,1,
Hamburguesa de Wagyu,Jitomate,0.1,1,
Hamburguesa de Wagyu,Cebolla,0.05,1,
Flautas,Tortilla de Maiz,4,1,
Flautas,Pollo,0.15,1,
Flautas,Crema,0.03,1,
Flautas,Queso Fresco,0.05,1,
Flautas,Lechuga,0.05,1,
Flautas,Aceite,0.1,1,
Quesadillas,Tortilla de Maiz,2,1,
Quesadillas,Queso Mozzarella,0.1,1,
Quesadillas,Aceite,0.03,1,
Taco,Tortilla de Maiz,3,1,
Taco,Pollo,0.15,1,
Taco,Cilantro,5,1,
Taco,Cebolla,0.03,1,
Taco,Limon,1,1,
Chilaquiles,Tortilla de Maiz,3,1,Salsa verde o roja
Chilaquiles,Pollo,0.1,1,
Chilaquiles,Crema,0.03,1,
Chilaquiles,Queso Fresco,0.05,1,
Chilaquiles,Cebolla,0.03,1,
Chilaquiles,Aceite,0.05,1,
Huevos Rancheros,Huevo,2,1,
Huevos Rancheros,Tortilla de Maiz,2,1,
Huevos Rancheros,Frijoles Refritos,0.15,1,
Huevos Rancheros,Salsa de Tomate,0.1,1,
Huevos Rancheros,Aceite,0.03,1,
Huevos a la Mexicana,Huevo,3,1,
Huevos a la Mexicana,Jitomate,0.1,1,
Huevos a la Mexicana,Cebolla,0.05,1,
Huevos a la Mexicana,Chile Serrano,0.02,1,
Huevos a la Mexicana,Frijoles Refritos,0.15,1,
Huevos a la Mexicana,Aceite,0.03,1,
Huevo con Champiñones,Huevo,2,1,
Huevo con Champiñones,Chile Serrano,0.01,1,Champiñones frescos
Huevo con Champiñones,Aceite,0.02,1,
Huevo con Champiñones,Sal,0.005,1,
Huevo con Champiñones,Pimienta,0.5,1,
Huevos con Jamón,Huevo,3,1,
Huevos con Jamón,Jamon,0.1,1,
Huevos con Jamón,Aceite,0.03,1,
Guacamole,Aguacate,3,1,
Guacamole,Jitomate,0.1,1,
Guacamole,Cebolla,0.05,1,
Guacamole,Cilantro,5,1,
Guacamole,Chile Serrano,0.02,1,
Guacamole,Limon,2,1,
Guacamole,Sal,0.01,1,
Ensalada Caprese,Jitomate,0.3,1,
Ensalada Caprese,Queso Mozzarella,0.15,1,
Ensalada Caprese,Albahaca,10,1,
Ensalada Caprese,Aceite,0.03,1,
Ensalada Caprese,Sal,0.005,1,
Flan Napolitano,Huevo,4,1,
Flan Napolitano,Leche,0.5,1,
Flan Napolitano,Azucar,0.15,1,
Carajillo,Cafe Molido,0.015,1,
Carajillo,Licor 43,0.05,1,
Carajillo,Hielo,0.1,1,
